ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
M_T_PCIT_0_16	602	24836	25438	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	putative GTP-binding protein EngB
M_T_PCIT_0_17	1403	26670	28073	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_18	560	28211	28771	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	single-stranded DNA-binding protein
M_T_PCIT_0_19	740	29093	29833	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	uroporphyrinogen-III synthase
M_T_PCIT_0_20	947	29830	30777	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Porphobilinogen deaminase
M_T_PCIT_0_21	116	31159	31275	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_22	2165	31527	33692	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_23	260	34584	34844	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_24	1400	35045	36445	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_25	317	36533	36850	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	heat shock protein HspQ
M_T_PCIT_0_26	122	37149	37271	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_27	815	37928	38743	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP pyrophosphate phosphatase
M_T_PCIT_0_28	1247	38868	40115	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	tRNA nucleotidyl transferase
M_T_PCIT_0_29	326	40321	40647	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	glutaredoxin
M_T_PCIT_0_30	653	40796	41449	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	ribonuclease T
M_T_PCIT_0_31	788	41853	42641	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	enoyl-ACP reductase
M_T_PCIT_0_32	533	42972	43505	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	inorganic pyrophosphatase
M_T_PCIT_0_33	1664	43957	45621	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_34	878	46058	46936	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	dihydrodipicolinate synthase
M_T_PCIT_0_35	323	47697	48020	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	thioredoxin
M_T_PCIT_0_36	1259	48423	49682	M_T_PCIT_0	538294	+		Enterobacteriaceae (543)	transcription termination factor Rho
M_T_PCIT_0_37	581	50534	51115	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	penicillin-binding protein activator LpoB
M_T_PCIT_0_38	353	51207	51560	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	purine nucleoside phosphoramidase
M_T_PCIT_0_39	1004	51725	52729	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	glyceraldehyde-3-phosphate dehydrogenase
M_T_PCIT_0_40	218	53162	53380	M_T_PCIT_0	538294	+		Enterobacteriaceae (543)	cold-shock protein
M_T_PCIT_0_41	1004	53521	54525	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	tryptophanyl-tRNA synthetase
M_T_PCIT_0_42	812	54613	55425	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Ribosomal RNA small subunit methyltransferase A
M_T_PCIT_0_43	980	55425	56405	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	4-hydroxythreonine-4-phosphate dehydrogenase
M_T_PCIT_0_44	1295	56398	57693	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	peptidyl-prolyl cis-trans isomerase
M_T_PCIT_0_45	2333	57756	60089	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_46	278	60299	60577	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_47	458	61025	61483	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	deoxyuridine 5'-triphosphate nucleotidohydrolase
M_T_PCIT_0_48	236	62061	62297	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L28
M_T_PCIT_0_49	167	62331	62498	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_50	809	62548	63357	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	5-hydroxymethyluracil DNA glycosylase
M_T_PCIT_0_51	2168	63886	66054	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_52	158	66017	66175	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_53	653	66552	67205	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	adenylate kinase
M_T_PCIT_0_54	1460	67233	68693	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_55	1532	68705	70237	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_56	1844	70344	72188	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_57	299	72185	72484	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH:ubiquinone oxidoreductase subunit K
M_T_PCIT_0_58	548	72481	73029	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH:ubiquinone oxidoreductase subunit J
M_T_PCIT_0_59	542	73044	73586	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH dehydrogenase subunit I
M_T_PCIT_0_60	941	73605	74546	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH:ubiquinone oxidoreductase subunit H
M_T_PCIT_0_61	2732	74543	77275	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_62	1349	77382	78731	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_63	524	78728	79252	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH dehydrogenase subunit E
M_T_PCIT_0_64	1790	79258	81048	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_65	674	81108	81782	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH dehydrogenase subunit B
M_T_PCIT_0_66	368	81795	82163	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	NADH-quinone oxidoreductase subunit A
M_T_PCIT_0_67	1079	82855	83934	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	rod shape-determining protein Mbl
M_T_PCIT_0_68	872	84023	84895	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	rod shape-determining protein MreC
M_T_PCIT_0_69	1292	85206	86498	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	seryl-tRNA synthetase
M_T_PCIT_0_70	3224	86939	90163	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_71	1145	90228	91373	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	carbamoyl phosphate synthase small subunit
M_T_PCIT_0_72	827	91584	92411	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Dihydrodipicolinate reductase
M_T_PCIT_0_73	488	92515	93003	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Lipoprotein signal peptidase
M_T_PCIT_0_74	2816	93003	95819	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_75	281	96319	96600	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S20
M_T_PCIT_0_76	1130	96639	97769	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	molecular chaperone DnaJ
M_T_PCIT_0_77	1898	97869	99767	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_78	539	100151	100690	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UPF0135 protein ybgI
M_T_PCIT_0_79	1166	101640	102806	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	malate--CoA ligase subunit beta
M_T_PCIT_0_80	875	102806	103681	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	succinyl-CoA synthetase subunit alpha
M_T_PCIT_0_81	479	103965	104444	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	ADP-binding protein
M_T_PCIT_0_82	1985	105144	107129	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_83	944	107122	108066	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tRNA delta(2)-isopentenylpyrophosphate transferase
M_T_PCIT_0_84	266	108131	108397	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	RNA chaperone Hfq
M_T_PCIT_0_85	1217	108728	109945	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell division protein FtsH
M_T_PCIT_0_86	992	109942	110934	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell division protein FtsH
M_T_PCIT_0_87	2330	111622	113952	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_88	737	114162	114899	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	23S rRNA (guanosine-2'-O-)-methyltransferase
M_T_PCIT_0_89	716	115221	115937	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
M_T_PCIT_0_90	1889	116309	118198	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_91	1106	119545	120651	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	outer membrane porin protein C
M_T_PCIT_0_92	410	120943	121353	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S6
M_T_PCIT_0_93	326	121357	121683	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	primosomal replication protein N
M_T_PCIT_0_94	227	121688	121915	M_T_PCIT_0	538294	+		Gammaproteobacteria (1236)	30S ribosomal protein S18
M_T_PCIT_0_95	452	121954	122406	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L9
M_T_PCIT_0_96	995	122694	123689	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	6-phosphogluconolactonase
M_T_PCIT_0_97	251	123940	124191	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_98	731	124839	125570	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP-2,3-diacylglucosamine hydrolase
M_T_PCIT_0_99	608	126354	126962	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	riboflavin synthase subunit alpha
M_T_PCIT_0_100	830	127102	127932	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	ribosomal large subunit pseudouridine synthase B
M_T_PCIT_0_101	1574	128235	129809	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_102	578	129809	130387	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	anthranilate synthase subunit II
M_T_PCIT_0_103	1355	130472	131827	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	phosphoribosylanthranilate isomerase
M_T_PCIT_0_104	1190	131866	133056	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tryptophan synthase subunit beta
M_T_PCIT_0_105	806	133058	133864	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tryptophan synthase subunit alpha
M_T_PCIT_0_106	749	134097	134846	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	membrane protein
M_T_PCIT_0_107	1649	134903	136552	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_108	1445	136710	138155	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_109	1232	138240	139472	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	putative peptidase, M23 family
M_T_PCIT_0_110	971	139485	140456	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	High-affinity zinc uptake system protein znuA
M_T_PCIT_0_111	770	140546	141316	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	zinc transporter
M_T_PCIT_0_112	785	141309	142094	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	High-affinity zinc uptake system membrane protein znuB
M_T_PCIT_0_113	1004	142179	143183	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Holliday junction DNA helicase RuvB
M_T_PCIT_0_114	620	143192	143812	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Holliday junction DNA helicase RuvA
M_T_PCIT_0_115	494	143901	144395	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Holliday junction resolvase
M_T_PCIT_0_116	743	144453	145196	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	hypothetical protein
M_T_PCIT_0_117	1760	145397	147157	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_118	479	147359	147838	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	heat shock chaperone IbpB
M_T_PCIT_0_119	416	147975	148391	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	heat shock protein IbpA
M_T_PCIT_0_120	3542	148859	152401	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_121	1484	152721	154205	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_122	1442	154629	156071	M_T_PCIT_0	538294	+		Enterobacteriaceae (543)	pyruvate kinase
M_T_PCIT_0_123	1016	156521	157537	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	DNA polymerase III subunit delta
M_T_PCIT_0_124	488	157599	158087	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	putative LPS-assembly lipoprotein RplB
M_T_PCIT_0_125	2597	158126	160723	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_126	491	161117	161608	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	ribonuclease H
M_T_PCIT_0_127	740	161666	162406	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	DNA polymerase III subunit epsilon
M_T_PCIT_0_128	668	162434	163102	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Uracil-DNA glycosylase
M_T_PCIT_0_129	863	163248	164111	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	acetyl-CoA carboxylase subunit beta
M_T_PCIT_0_130	665	164300	164965	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	lipoate-protein ligase B
M_T_PCIT_0_131	947	165131	166078	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	lipoyl synthase
M_T_PCIT_0_132	422	166661	167083	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	transcription antitermination protein NusB
M_T_PCIT_0_133	470	167102	167572	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	6,7-dimethyl-8-ribityllumazine synthase
M_T_PCIT_0_134	587	168282	168869	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Murein hydrolase activator NlpD
M_T_PCIT_0_135	2567	168971	171538	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_136	788	171549	172337	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	DNAse
M_T_PCIT_0_137	998	172352	173350	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	DNA polymerase III subunit delta'
M_T_PCIT_0_138	167	173432	173599	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_139	302	174032	174334	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	acyl carrier protein
M_T_PCIT_0_140	734	174493	175227	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	3-ketoacyl-ACP reductase
M_T_PCIT_0_141	944	175233	176177	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	malonyl CoA-ACP transacylase
M_T_PCIT_0_142	170	177170	177340	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_143	968	177808	178776	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	23S rRNA pseudouridylate synthase C
M_T_PCIT_0_144	2555	179263	181818	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_145	854	182042	182896	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	PTS mannose transporter subunit IID
M_T_PCIT_0_146	800	182915	183715	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	PTS mannose transporter subunit IIC
M_T_PCIT_0_147	968	183729	184697	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	PTS mannose transporter subunit IIAB
M_T_PCIT_0_148	509	186196	186705	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	disulfide bond formation protein DsbB
M_T_PCIT_0_149	734	186953	187687	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	putative septum site-determining protein minC
M_T_PCIT_0_150	815	187709	188524	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell division inhibitor MinD
M_T_PCIT_0_151	254	188843	189097	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell division topological specificity factor MinE
M_T_PCIT_0_152	749	189204	189953	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Uncharacterized protein YeaZ
M_T_PCIT_0_153	689	190191	190880	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	outer membrane biogenesis protein BamD
M_T_PCIT_0_154	1556	191344	192900	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_155	287	193009	193296	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L25
M_T_PCIT_0_156	1514	194177	195691	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_157	2048	196031	198079	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_158	116	198118	198234	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_159	263	198231	198494	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_160	164	198538	198702	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_161	1061	199589	200650	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	recombinase RecA
M_T_PCIT_0_162	2627	200842	203469	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_163	185	203677	203862	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	carbon storage regulator
M_T_PCIT_0_164	1406	204168	205574	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_165	977	205934	206911	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	3-phosphoserine/phosphohydroxythreonine aminotransferase
M_T_PCIT_0_166	1670	207429	209099	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_167	602	209300	209902	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	peroxiredoxin
M_T_PCIT_0_168	1109	209970	211079	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	aspartate-semialdehyde dehydrogenase
M_T_PCIT_0_169	1370	212221	213591	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	serine endoprotease
M_T_PCIT_0_170	215	213841	214056	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Uncharacterized protein YrbA
M_T_PCIT_0_171	1280	214928	216208	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	histidyl-tRNA synthetase
M_T_PCIT_0_172	1166	216573	217739	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	outer membrane biogenesis protein BamB
M_T_PCIT_0_173	1469	217777	219246	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_174	275	219591	219866	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	DNA-directed RNA polymerase subunit omega
M_T_PCIT_0_175	260	219972	220232	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_176	2087	220234	222321	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_177	725	222833	223558	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	lipopolysaccharide ABC transporter ATP-binding protein
M_T_PCIT_0_178	560	223595	224155	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	sugar ABC transporter substrate-binding protein
M_T_PCIT_0_179	578	224118	224696	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	sugar ABC transporter substrate-binding protein
M_T_PCIT_0_180	557	224702	225259	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
M_T_PCIT_0_181	2669	226200	228869	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_182	1274	228885	230159	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	branched-chain alpha-keto acid dehydrogenase subunit E2
M_T_PCIT_0_183	1436	230252	231688	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_184	257	231750	232007	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Sulfurtransferase TusA
M_T_PCIT_0_185	1457	232052	233509	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_186	734	233669	234403	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	phosphoadenosine phosphosulfate reductase
M_T_PCIT_0_187	1703	234418	236121	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_188	1829	236121	237950	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_189	1295	238146	239441	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	enolase
M_T_PCIT_0_190	2819	240098	242917	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_191	1034	243043	244077	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tRNA-dihydrouridine synthase A
M_T_PCIT_0_192	257	244057	244314	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_193	905	245023	245928	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Glycyl-tRNA synthetase alpha subunit
M_T_PCIT_0_194	2120	245903	248023	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_195	101	248234	248335	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_196	1139	248352	249491	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Cytochrome d ubiquinol oxidase subunit 2
M_T_PCIT_0_197	1565	249509	251074	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_198	815	251740	252555	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	UPF0701 protein yicC
M_T_PCIT_0_199	983	253417	254400	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Ribosomal RNA small subunit methyltransferase H
M_T_PCIT_0_200	269	254397	254666	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell division protein FtsL
M_T_PCIT_0_201	1775	254936	256711	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_202	1082	257541	258623	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	phospho-N-acetylmuramoyl-pentapeptide-transferase
M_T_PCIT_0_203	1139	259045	260184	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Cell division protein ftsW
M_T_PCIT_0_204	1064	260190	261254	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
M_T_PCIT_0_205	1253	262204	263457	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell division protein FtsA
M_T_PCIT_0_206	1169	263536	264705	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	peptidase M23
M_T_PCIT_0_207	905	264718	265623	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase
M_T_PCIT_0_208	470	265700	266170	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	hypothetical protein
M_T_PCIT_0_209	2561	266416	268977	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_210	3557	269127	272684	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_211	1211	273170	274381	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	phosphoglycerate kinase
M_T_PCIT_0_212	1076	274418	275494	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	fructose-bisphosphate aldolase
M_T_PCIT_0_213	428	275683	276111	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Holliday junction resolvase
M_T_PCIT_0_214	1835	276504	278339	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_215	1748	278485	280233	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_216	242	280341	280583	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	30S ribosomal protein S21
