id	seqname	start	end	strand	ec	taxonomy	product
AEXL02000031_8	AEXL02000031	4643	4846	-		marine archaeal group 1 strain BD31	partial
AEXL02000030_0	AEXL02000030	2	880	-		Cenarchaeum symbiosum A	partial
AEXL02000030_1	AEXL02000030	1049	2824	-		Candidatus Nitrosopumilus koreensis AR1	hypothetical protein
AEXL02000030_2	AEXL02000030	2821	3264	-		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000030_3	AEXL02000030	3487	4476	-		"Nitrosopumilus maritimus" Konneke et al. 2006	hypothetical protein
AEXL02000030_4	AEXL02000030	4588	5172	+		Nitrosopumilaceae archaeon SFB1	Hypothetical protein
AEXL02000030_5	AEXL02000030	5427	5567	-			hypothetical protein
AEXL02000030_6	AEXL02000030	5739	6557	+		"Nitrosopumilaceae" Konneke et al. 2005	Predicted dinucleotide-utilizing enzyme
AEXL02000030_7	AEXL02000030	6590	7669	-		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000030_8	AEXL02000030	7929	8885	+		Candidatus Nitrosoarchaeum	Quinolinate synthase
AEXL02000030_9	AEXL02000030	8897	9289	+		"Nitrosopumilaceae" Konneke et al. 2005	TPR repeat-containing protein
AEXL02000030_10	AEXL02000030	9330	9629	+		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000030_11	AEXL02000030	9688	9885	+		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000030_12	AEXL02000030	10075	10215	-			hypothetical protein
AEXL02000030_13	AEXL02000030	10305	10523	+		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000030_14	AEXL02000030	10558	11373	-		"Nitrosopumilaceae" Konneke et al. 2005	Nicotinate-nucleotide pyrophosphorylase
AEXL02000030_15	AEXL02000030	11418	11606	-	2.7.7.6	"Nitrosopumilaceae" Konneke et al. 2005	DNA-directed RNA polymerase subunit E"
AEXL02000030_16	AEXL02000030	11608	12204	-		Candidatus Nitrosoarchaeum	DNA-directed RNA polymerase, subunit E'
AEXL02000030_17	AEXL02000030	12353	13456	+		"Nitrosopumilaceae" Konneke et al. 2005	ATPases involved chromosome partitioning
AEXL02000030_18	AEXL02000030	13468	13707	+		Candidatus Nitrosoarchaeum limnia str. BG20	hypothetical protein
AEXL02000030_19	AEXL02000030	13655	13960	+		Candidatus Nitrosoarchaeum koreensis	DUF359 domain containing protein
AEXL02000030_20	AEXL02000030	14113	14490	+		Nitrosopumilus maritimus SCM1	hypothetical protein
AEXL02000030_21	AEXL02000030	14527	16566	+	3.6.1.1	"Nitrosopumilaceae" Konneke et al. 2005	inorganic pyrophosphatase
AEXL02000030_22	AEXL02000030	16563	16745	-		Candidatus Nitrosopumilus koreensis AR1	hypothetical protein
AEXL02000030_23	AEXL02000030	16804	17061	-		"Nitrosopumilus maritimus" Konneke et al. 2006	DUF2024 domain containing protein
AEXL02000030_24	AEXL02000030	17350	17649	+		Candidatus Nitrosoarchaeum	hypothetical protein
AEXL02000030_25	AEXL02000030	17758	18516	+		Nitrosopumilus sp. MY1	Outer membrane autotransporter barrel domain-containing protein
AEXL02000030_26	AEXL02000030	18664	19053	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
AEXL02000030_27	AEXL02000030	19057	19443	-		"Nitrosopumilaceae" Konneke et al. 2005	Mov34/MPN/PAD-1 family protein
AEXL02000030_28	AEXL02000030	19446	20540	-		Candidatus Nitrosoarchaeum	blue (type1) copper domain-containing protein
AEXL02000030_29	AEXL02000030	20612	21526	+		"Nitrosopumilaceae" Konneke et al. 2005	protoheme IX farnesyltransferase
AEXL02000030_30	AEXL02000030	21530	21826	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
AEXL02000030_31	AEXL02000030	21829	23970	-		Candidatus Nitrosoarchaeum	ATPases AAA+ class
AEXL02000030_32	AEXL02000030	24006	24287	-		Nitrosoarchaeum limnia	elongation factor EF-1 beta subunit
AEXL02000030_33	AEXL02000030	24528	25664	-		Nitrosopumilus maritimus SCM1	dehydrogenase (flavoprotein)-like protein
AEXL02000030_34	AEXL02000030	25746	26804	+		"Nitrosopumilus" Konneke et al. 2005	integrase/recombinase XerD
AEXL02000030_35	AEXL02000030	26793	27176	-		marine archaeal group 1 strain BD31	hypothetical protein
AEXL02000030_36	AEXL02000030	27218	27796	-		marine archaeal group 1 strain BD31	hypothetical protein
AHJG01000148_0	AHJG01000148	2	799	-		Candidatus Nitrosoarchaeum koreensis	Glucose/sorbosone dehydrogenases
AHJG01000148_1	AHJG01000148	929	1435	-		"Nitrosopumilaceae" Konneke et al. 2005	copper binding protein, plastocyanin/azurin family
AHJG01000148_2	AHJG01000148	1662	1907	-		Candidatus Nitrosoarchaeum limnia str. BG20	hypothetical protein
AHJG01000149_0	AHJG01000149	197	1414	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
AHJG01000149_1	AHJG01000149	1489	1929	-		Candidatus Nitrosoarchaeum limnia str. BG20	signal-transduction protein
AHJG01000149_2	AHJG01000149	2039	2215	+			hypothetical protein
AHJG01000149_3	AHJG01000149	2340	3638	+		Nitrosoarchaeum limnia	hypothetical protein
AHJG01000149_4	AHJG01000149	3735	4031	+		Nitrosoarchaeum limnia	secreted protein, partial
AHJG01000146_0	AHJG01000146	3	305	-		Candidatus Nitrosopumilus koreensis AR1	Nuclease subunit excinuclease complex
AHJG01000146_1	AHJG01000146	307	2133	-		"Nitrosopumilus" Konneke et al. 2005	Excinuclease ATPase subunit
AHJG01000146_2	AHJG01000146	2180	2326	-			hypothetical protein
AHJG01000147_0	AHJG01000147	3	164	-			hypothetical protein
AHJG01000147_1	AHJG01000147	220	621	-	1.20.4.1	"Nitrosopumilaceae" Konneke et al. 2005	arsenate reductase
AHJG01000147_2	AHJG01000147	706	1125	+		Nitrosoarchaeum limnia	response regulator receiver sensor signal transduction histidine kinase
AHJG01000144_0	AHJG01000144	2	859	-		Candidatus Nitrosoarchaeum	peptidase S8 S53 subtilisin kexin sedolisin
AHJG01000145_0	AHJG01000145	11	850	+	3.1.21.2	Candidatus Nitrosoarchaeum koreensis	deoxyribonuclease IV
AHJG01000145_1	AHJG01000145	900	2339	+	6.1.1.14	"Nitrosopumilaceae" Konneke et al. 2005	glycyl-tRNA synthetase
AHJG01000145_2	AHJG01000145	2355	2930	-		Nitrosoarchaeum limnia	type I secretion target repeat-containing protein, partial
AHJG01000142_0	AHJG01000142	16	402	+		Nitrosopumilus sp. MY1	cobalamin biosynthesis protein CbiD
AHJG01000142_1	AHJG01000142	437	532	+			hypothetical protein
AHJG01000143_0	AHJG01000143	3	860	-		Candidatus Nitrosoarchaeum	peptidase S8 S53 subtilisin kexin sedolisin
AHJG01000140_0	AHJG01000140	2	244	-	4.2.1.19	"Nitrosopumilaceae" Konneke et al. 2005	imidazoleglycerol-phosphate dehydratase
AHJG01000140_1	AHJG01000140	271	966	-		Candidatus Nitrosopumilus sp. AR2	hydrolase
AHJG01000141_0	AHJG01000141	77	541	-		Nitrosoarchaeum limnia	Putative xylanase/chitin deacetylase
AHJG01000065_0	AHJG01000065	2	310	+		Nitrosoarchaeum limnia	partial
AHJG01000065_1	AHJG01000065	402	788	+		"Nitrosopumilaceae" Konneke et al. 2005	partial
AHJG01000064_0	AHJG01000064	2	1954	+		Candidatus Nitrosoarchaeum limnia str. BG20	partial
AHJG01000067_0	AHJG01000067	202	1149	-		Nitrosopumilus maritimus SCM1	cell division protein FtsZ
AHJG01000067_1	AHJG01000067	1223	2491	-		"Nitrosopumilus maritimus" Konneke et al. 2006	MiaB-like tRNA modifying enzyme
AHJG01000067_2	AHJG01000067	2495	3880	-		"Nitrosopumilaceae" Konneke et al. 2005	Aspartate ammonia-lyase
AHJG01000067_3	AHJG01000067	3966	5378	+		marine archaeal group 1 strain BD31	NirK, nitrite reductase multicopper oxidase
AHJG01000067_4	AHJG01000067	5454	6386	+		"Nitrosopumilaceae" Konneke et al. 2005	Phosphoglycerate dehydrogenase related dehydrogenases
AHJG01000067_5	AHJG01000067	6489	7355	+		Candidatus Nitrosopumilus salaria	hypothetical protein
AHJG01000067_6	AHJG01000067	7357	7872	-		"Nitrosopumilaceae" Konneke et al. 2005	thr operon leader peptide
AHJG01000067_7	AHJG01000067	7877	8542	-		"Nitrosopumilaceae" Konneke et al. 2005	Putative Pentapeptide repeats (8 copies)
AHJG01000067_8	AHJG01000067	9002	9460	+		"Nitrosopumilaceae" Konneke et al. 2005	large subunit ribosomal protein L15e
AHJG01000067_9	AHJG01000067	9462	10319	+		"Nitrosopumilaceae" Konneke et al. 2005	Putative cyclophilin type peptidyl-prolyl cis-trans isomerase
AHJG01000066_0	AHJG01000066	33	560	+		Candidatus Nitrosoarchaeum	Putative PKD domain protein
AHJG01000061_0	AHJG01000061	174	1535	+		"Nitrosopumilaceae" Konneke et al. 2005	Very large, secreted (Periplasmic) protein
AHJG01000060_0	AHJG01000060	1	720	+		Candidatus Nitrosoarchaeum koreensis	Hydroxymethylglutaryl-CoA reductase
AHJG01000060_1	AHJG01000060	715	831	-			hypothetical protein
AHJG01000063_0	AHJG01000063	1	78	+			hypothetical protein
AHJG01000063_1	AHJG01000063	374	2467	-	1.17.4.2	"Nitrosopumilaceae" Konneke et al. 2005	ribonucleoside-triphosphate reductase
AHJG01000062_0	AHJG01000062	3	185	-		Nitrosopumilus sp. MY1	Hypothetical protein
AHJG01000062_1	AHJG01000062	446	760	-		Candidatus Nitrosoarchaeum	Hypothetical protein
AHJG01000062_2	AHJG01000062	820	1797	+	2.4.2.17	"Nitrosopumilaceae" Konneke et al. 2005	ATP phosphoribosyltransferase
AHJG01000062_3	AHJG01000062	1797	2945	+	1.1.1.23	"Nitrosopumilaceae" Konneke et al. 2005	histidinol dehydrogenase
AHJG01000062_4	AHJG01000062	2942	3070	+			hypothetical protein
AHJG01000062_5	AHJG01000062	3067	4008	+	2.6.1.9	"Nitrosopumilaceae" Konneke et al. 2005	histidinol-phosphate aminotransferase
gi|340343926|ref|NZ_AFPU01000001.1|_0	gi|340343926|ref|NZ_AFPU01000001.1|	2	2554	+		Candidatus Nitrosoarchaeum	Ig domain protein group 2
gi|340343926|ref|NZ_AFPU01000001.1|_1	gi|340343926|ref|NZ_AFPU01000001.1|	2609	4066	-	6.1.1.14	"Nitrosopumilaceae" Konneke et al. 2005	glycyl-tRNA synthetase
gi|340343926|ref|NZ_AFPU01000001.1|_2	gi|340343926|ref|NZ_AFPU01000001.1|	4098	4946	-	3.1.21.2	"Nitrosopumilaceae" Konneke et al. 2005	deoxyribonuclease IV
gi|340343926|ref|NZ_AFPU01000001.1|_3	gi|340343926|ref|NZ_AFPU01000001.1|	5023	6051	+		"Nitrosopumilaceae" Konneke et al. 2005	DNA primase, large subunit
gi|340343926|ref|NZ_AFPU01000001.1|_4	gi|340343926|ref|NZ_AFPU01000001.1|	6051	7172	+		"Nitrosopumilaceae" Konneke et al. 2005	DNA primase
gi|340343926|ref|NZ_AFPU01000001.1|_5	gi|340343926|ref|NZ_AFPU01000001.1|	7255	10110	+		"Nitrosopumilaceae" Konneke et al. 2005	UPF0182 protein
gi|340343926|ref|NZ_AFPU01000001.1|_6	gi|340343926|ref|NZ_AFPU01000001.1|	10173	10715	+		"Nitrosopumilaceae" Konneke et al. 2005	glutamine amidotransferase class-I
gi|340343926|ref|NZ_AFPU01000001.1|_7	gi|340343926|ref|NZ_AFPU01000001.1|	10750	11709	+		"Nitrosopumilaceae" Konneke et al. 2005	TPR repeat-containing protein
gi|340343926|ref|NZ_AFPU01000001.1|_8	gi|340343926|ref|NZ_AFPU01000001.1|	11837	12010	+			hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_9	gi|340343926|ref|NZ_AFPU01000001.1|	12208	12600	+		"Nitrosopumilaceae" Konneke et al. 2005	small subunit ribosomal protein S6e
gi|340343926|ref|NZ_AFPU01000001.1|_10	gi|340343926|ref|NZ_AFPU01000001.1|	12641	13903	+		"Nitrosopumilaceae" Konneke et al. 2005	Translation initiation factor 2, gamma subunit (eIF-2gamma GTPase)
gi|340343926|ref|NZ_AFPU01000001.1|_11	gi|340343926|ref|NZ_AFPU01000001.1|	13884	14264	+		"Nitrosopumilaceae" Konneke et al. 2005	PilT protein domain
gi|340343926|ref|NZ_AFPU01000001.1|_12	gi|340343926|ref|NZ_AFPU01000001.1|	14291	14752	+		"Nitrosopumilaceae" Konneke et al. 2005	Phospholipid-binding protein
gi|340343926|ref|NZ_AFPU01000001.1|_13	gi|340343926|ref|NZ_AFPU01000001.1|	14855	16993	+	2.4.1.119	"Nitrosopumilaceae" Konneke et al. 2005	dolichyl-diphosphooligosaccharide--protein glycosyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_14	gi|340343926|ref|NZ_AFPU01000001.1|	16998	17153	-			hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_15	gi|340343926|ref|NZ_AFPU01000001.1|	17155	17952	-		"Nitrosopumilaceae" Konneke et al. 2005	translation initiation factor eIF-2 alpha subunit
gi|340343926|ref|NZ_AFPU01000001.1|_16	gi|340343926|ref|NZ_AFPU01000001.1|	17993	18526	-		"Nitrosopumilaceae" Konneke et al. 2005	ATP:corrinoid adenosyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_17	gi|340343926|ref|NZ_AFPU01000001.1|	18618	19970	+		"Nitrosopumilaceae" Konneke et al. 2005	cobyrinic acid a,c-diamide synthase
gi|340343926|ref|NZ_AFPU01000001.1|_18	gi|340343926|ref|NZ_AFPU01000001.1|	19959	20600	-	5.4.1.2	"Nitrosopumilaceae" Konneke et al. 2005	precorrin-8X methylmutase
gi|340343926|ref|NZ_AFPU01000001.1|_19	gi|340343926|ref|NZ_AFPU01000001.1|	20590	21342	-		"Nitrosopumilaceae" Konneke et al. 2005	cobalamin (vitamin B12) biosynthesis CbiX protein
gi|340343926|ref|NZ_AFPU01000001.1|_20	gi|340343926|ref|NZ_AFPU01000001.1|	21339	22391	-		"Nitrosopumilaceae" Konneke et al. 2005	cobalamin biosynthesis protein CbiG
gi|340343926|ref|NZ_AFPU01000001.1|_21	gi|340343926|ref|NZ_AFPU01000001.1|	22429	23523	-		"Nitrosopumilaceae" Konneke et al. 2005	cobalamin biosynthesis protein CbiD
gi|340343926|ref|NZ_AFPU01000001.1|_22	gi|340343926|ref|NZ_AFPU01000001.1|	23670	24527	+		"Nitrosopumilaceae" Konneke et al. 2005	NAD-dependent epimerase/dehydratase
gi|340343926|ref|NZ_AFPU01000001.1|_23	gi|340343926|ref|NZ_AFPU01000001.1|	24504	25670	-		"Nitrosopumilaceae" Konneke et al. 2005	S-adenosylmethionine synthetase
gi|340343926|ref|NZ_AFPU01000001.1|_24	gi|340343926|ref|NZ_AFPU01000001.1|	25676	25921	-		Aigarchaeota	small nuclear ribonucleoprotein
gi|340343926|ref|NZ_AFPU01000001.1|_25	gi|340343926|ref|NZ_AFPU01000001.1|	26019	26687	+		"Nitrosopumilaceae" Konneke et al. 2005	RecA/RadA recombinase-like protein
gi|340343926|ref|NZ_AFPU01000001.1|_26	gi|340343926|ref|NZ_AFPU01000001.1|	26786	29539	+		"Nitrosopumilaceae" Konneke et al. 2005	ATP-dependent helicase Lhr Lhr-like
gi|340343926|ref|NZ_AFPU01000001.1|_27	gi|340343926|ref|NZ_AFPU01000001.1|	29536	30933	-		"Nitrosopumilaceae" Konneke et al. 2005	replication factor A1
gi|340343926|ref|NZ_AFPU01000001.1|_28	gi|340343926|ref|NZ_AFPU01000001.1|	31105	32043	+		"Nitrosopumilaceae" Konneke et al. 2005	ABC-2 type transport system ATP-binding protein
gi|340343926|ref|NZ_AFPU01000001.1|_29	gi|340343926|ref|NZ_AFPU01000001.1|	32027	32788	+		"Nitrosopumilus" Konneke et al. 2005	antibiotic transport system permease protein
gi|340343926|ref|NZ_AFPU01000001.1|_30	gi|340343926|ref|NZ_AFPU01000001.1|	32785	33540	-		"Nitrosopumilaceae" Konneke et al. 2005	UDP-glucose/GDP-mannose dehydrogenase
gi|340343926|ref|NZ_AFPU01000001.1|_31	gi|340343926|ref|NZ_AFPU01000001.1|	33750	34721	-		"Nitrosopumilaceae" Konneke et al. 2005	Lipid-A-disaccharide synthase related glycosyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_32	gi|340343926|ref|NZ_AFPU01000001.1|	34840	35979	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_33	gi|340343926|ref|NZ_AFPU01000001.1|	36006	36593	+		"Nitrosopumilaceae" Konneke et al. 2005	molecular chaperone GrpE
gi|340343926|ref|NZ_AFPU01000001.1|_34	gi|340343926|ref|NZ_AFPU01000001.1|	36590	38446	+		"Nitrosopumilaceae" Konneke et al. 2005	Molecular chaperone
gi|340343926|ref|NZ_AFPU01000001.1|_35	gi|340343926|ref|NZ_AFPU01000001.1|	38488	39567	+		"Nitrosopumilaceae" Konneke et al. 2005	DnaJ-class molecular chaperone C-terminal Zn finger domain
gi|340343926|ref|NZ_AFPU01000001.1|_36	gi|340343926|ref|NZ_AFPU01000001.1|	39577	40113	+		Nitrosopumilus maritimus SCM1	NT5C domain containing protein
gi|340343926|ref|NZ_AFPU01000001.1|_37	gi|340343926|ref|NZ_AFPU01000001.1|	40453	42357	-	6.3.5.7	"Nitrosopumilus maritimus" Konneke et al. 2006	glutamyl-tRNA(Gln) amidotransferase subunit E
gi|340343926|ref|NZ_AFPU01000001.1|_38	gi|340343926|ref|NZ_AFPU01000001.1|	42369	43658	-		"Nitrosopumilaceae" Konneke et al. 2005	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
gi|340343926|ref|NZ_AFPU01000001.1|_39	gi|340343926|ref|NZ_AFPU01000001.1|	43692	46232	-		"Nitrosopumilus" Konneke et al. 2005	ATPases AAA+ class
gi|340343926|ref|NZ_AFPU01000001.1|_40	gi|340343926|ref|NZ_AFPU01000001.1|	46338	47072	+		"Nitrosopumilaceae" Konneke et al. 2005	Ribosomal protein L2
gi|340343926|ref|NZ_AFPU01000001.1|_41	gi|340343926|ref|NZ_AFPU01000001.1|	47129	47407	+	3.6.1.7	"Nitrosopumilaceae" Konneke et al. 2005	acylphosphatase
gi|340343926|ref|NZ_AFPU01000001.1|_42	gi|340343926|ref|NZ_AFPU01000001.1|	47404	47736	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_43	gi|340343926|ref|NZ_AFPU01000001.1|	48114	49028	-		"Nitrosopumilaceae" Konneke et al. 2005	PP-loop domain-containing protein
gi|340343926|ref|NZ_AFPU01000001.1|_44	gi|340343926|ref|NZ_AFPU01000001.1|	49073	50236	-		Nitrosopumilus maritimus SCM1	peptidase M50
gi|340343926|ref|NZ_AFPU01000001.1|_45	gi|340343926|ref|NZ_AFPU01000001.1|	50318	50629	+		"Nitrosopumilus maritimus" Konneke et al. 2006	periplasmic divalent cation tolerance protein
gi|340343926|ref|NZ_AFPU01000001.1|_46	gi|340343926|ref|NZ_AFPU01000001.1|	50626	51678	-		"Nitrosopumilus" Konneke et al. 2005	eRF1 domain-containing 1 protein
gi|340343926|ref|NZ_AFPU01000001.1|_47	gi|340343926|ref|NZ_AFPU01000001.1|	51711	52127	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_48	gi|340343926|ref|NZ_AFPU01000001.1|	52301	52720	+		"Nitrosopumilaceae" Konneke et al. 2005	Uncharacterized conserved protein
gi|340343926|ref|NZ_AFPU01000001.1|_49	gi|340343926|ref|NZ_AFPU01000001.1|	52722	52886	-			hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_50	gi|340343926|ref|NZ_AFPU01000001.1|	52942	53400	-		"Nitrosopumilaceae" Konneke et al. 2005	DtxR family transcriptional regulator, Mn-dependent regulator
gi|340343926|ref|NZ_AFPU01000001.1|_51	gi|340343926|ref|NZ_AFPU01000001.1|	53402	54169	-		"Nitrosopumilus" Konneke et al. 2005	transcriptional regulator, TrmB
gi|340343926|ref|NZ_AFPU01000001.1|_52	gi|340343926|ref|NZ_AFPU01000001.1|	54286	55950	+		marine archaeal group 1 strain BD31	Predicted Fe-S oxidoreductases
gi|340343926|ref|NZ_AFPU01000001.1|_53	gi|340343926|ref|NZ_AFPU01000001.1|	55989	56933	+		Aigarchaeota	glycosyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_54	gi|340343926|ref|NZ_AFPU01000001.1|	56930	57823	-		Aigarchaeota	Putative NAD dependent epimerase/dehydratase family protein
gi|340343926|ref|NZ_AFPU01000001.1|_55	gi|340343926|ref|NZ_AFPU01000001.1|	57910	59286	+		Candidatus Nitrosoarchaeum	Putative UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain protein
gi|340343926|ref|NZ_AFPU01000001.1|_56	gi|340343926|ref|NZ_AFPU01000001.1|	59261	60493	+		Aigarchaeota	asparagine synthase (glutamine-hydrolyzing)
gi|340343926|ref|NZ_AFPU01000001.1|_57	gi|340343926|ref|NZ_AFPU01000001.1|	60503	61561	-		Candidatus Nitrosoarchaeum	group 1 family glycosyl transferase, partial
gi|340343926|ref|NZ_AFPU01000001.1|_58	gi|340343926|ref|NZ_AFPU01000001.1|	61761	62711	+		Aigarchaeota	SAM dependent methyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_59	gi|340343926|ref|NZ_AFPU01000001.1|	62717	63475	-		Nitrosopumilus sp. MY1	Methyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_60	gi|340343926|ref|NZ_AFPU01000001.1|	63605	64477	+		biota	putative formyl transferase
gi|340343926|ref|NZ_AFPU01000001.1|_61	gi|340343926|ref|NZ_AFPU01000001.1|	64547	65044	+		Candidatus Nitrosoarchaeum	hypothetical protein
gi|340343926|ref|NZ_AFPU01000001.1|_62	gi|340343926|ref|NZ_AFPU01000001.1|	65045	66274	-		Nitrosopumilus sp. MY1	Putative glycosyl transferases group 1
gi|340343926|ref|NZ_AFPU01000001.1|_63	gi|340343926|ref|NZ_AFPU01000001.1|	66400	66981	+		biota	bacterial transferase family (hexapeptide motif)
gi|340343926|ref|NZ_AFPU01000001.1|_64	gi|340343926|ref|NZ_AFPU01000001.1|	67037	68056	+		Nitrosopumilus sp. MY1	Methyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_65	gi|340343926|ref|NZ_AFPU01000001.1|	68091	69296	+		Nitrosopumilus sp. MY1	Asparagine synthase (Glutamine-hydrolyzing)
gi|340343926|ref|NZ_AFPU01000001.1|_66	gi|340343926|ref|NZ_AFPU01000001.1|	69299	70393	-		Nitrosopumilus sp. MY1	DegT/DnrJ/EryC1/StrS aminotransferase family protein
gi|340343926|ref|NZ_AFPU01000001.1|_67	gi|340343926|ref|NZ_AFPU01000001.1|	70472	71353	+		Nitrosopumilus sp. MY1	NDP-sugar dehydratase or epimerase
gi|340343926|ref|NZ_AFPU01000001.1|_68	gi|340343926|ref|NZ_AFPU01000001.1|	71422	72753	+		"Archaea" Woese et al. 1990	UDP-N-acetyl-D-mannosaminuronate dehydrogenase
gi|340343926|ref|NZ_AFPU01000001.1|_69	gi|340343926|ref|NZ_AFPU01000001.1|	72757	74328	-		Nitrosopumilus sp. MY1	PMT multi-domain protein
gi|340343926|ref|NZ_AFPU01000001.1|_70	gi|340343926|ref|NZ_AFPU01000001.1|	74493	75935	+		Nitrosopumilus sp. MY1	Radical SAM domain protein
gi|340343926|ref|NZ_AFPU01000001.1|_71	gi|340343926|ref|NZ_AFPU01000001.1|	75932	76828	+		Aigarchaeota	cell wall biogenesis glycosyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_72	gi|340343926|ref|NZ_AFPU01000001.1|	76833	77765	+		Nitrosopumilus sp. MY1	UDP-glucose 4-epimerase
gi|340343926|ref|NZ_AFPU01000001.1|_73	gi|340343926|ref|NZ_AFPU01000001.1|	77815	78456	+		Nitrosopumilus sp. MY1	LmbE family protein
gi|340343926|ref|NZ_AFPU01000001.1|_74	gi|340343926|ref|NZ_AFPU01000001.1|	78476	79267	+		Nitrosopumilus sp. MY1	Acetyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_75	gi|340343926|ref|NZ_AFPU01000001.1|	79341	80516	+		Nitrosopumilus sp. MY1	Glycosyltransferase
gi|340343926|ref|NZ_AFPU01000001.1|_76	gi|340343926|ref|NZ_AFPU01000001.1|	80568	81641	+		biota	UDP-N-acetylglucosamine 2-epimerase
gi|340343926|ref|NZ_AFPU01000001.1|_77	gi|340343926|ref|NZ_AFPU01000001.1|	81677	82399	+		"Nitrosopumilaceae" Konneke et al. 2005	dTDP-4-dehydrorhamnose reductase
gi|340343926|ref|NZ_AFPU01000001.1|_78	gi|340343926|ref|NZ_AFPU01000001.1|	82452	83312	+		Nitrosopumilus sp. MY1	Methyltransferase FkbM
gi|340343926|ref|NZ_AFPU01000001.1|_79	gi|340343926|ref|NZ_AFPU01000001.1|	83329	84267	-		Nitrosopumilus sp. MY1	NAD-dependent epimerase/dehydratase
gi|340343926|ref|NZ_AFPU01000001.1|_80	gi|340343926|ref|NZ_AFPU01000001.1|	84333	85631	-		Nitrosopumilus sp. MY1	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
gi|340343926|ref|NZ_AFPU01000001.1|_81	gi|340343926|ref|NZ_AFPU01000001.1|	85678	86832	-		Nitrosopumilus sp. MY1	putative capsular polysaccharide biosynthesis glycosyl transferase
gi|340343926|ref|NZ_AFPU01000001.1|_82	gi|340343926|ref|NZ_AFPU01000001.1|	87018	88184	-		Candidatus Nitrosoarchaeum	polysaccharide biosynthesis protein
